longitude,latitude,issue_type,issue_Description,ticket_created_date_time
-8932289.85618862,2972113.08433244,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/07 13:11:03.294+00
-8926398.94005533,2974227.11468578,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/01 15:01:53.749+00
-8928694.79323345,2972024.19763515,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/01 15:19:07.104+00
-8925169.6389185,2980139.83463256,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/03 08:41:24.846+00
-8928991.79363489,2977473.6148092,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/03 08:55:18.938+00
-8932985.93696455,2965756.13823448,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/03 09:07:32.053+00
-8928063.38908167,2971088.3856855,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/03 10:23:04.606+00
-8933032.13455323,2968936.24471806,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/06 08:03:02.497+00
-8926677.90669926,2970129.27129512,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/06 09:34:04.716+00
-8931672.03301472,2969474.52847716,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 08:49:13.309+00
-8932500.69530418,2970798.50624909,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 08:52:02.958+00
-8932479.9898789,2970770.69295829,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 08:53:36.478+00
-8932442.58652999,2970802.09107707,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 08:55:09.969+00
-8931520.19322927,2968650.23928922,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 08:58:13.278+00
-8932188.555452,2970793.5616602,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:02:23.907+00
-8926485.99189713,2972729.99016574,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:05:57.934+00
-8932147.4785599,2974626.86006499,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:11:02.897+00
-8929996.4520393,2970565.12347077,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:15:29.232+00
-8933256.44332718,2966992.53104679,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:18:48.358+00
-8932893.20782872,2965509.9842909,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:22:09.366+00
-8931625.16750909,2966693.95829335,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:25:58.533+00
-8933226.05310619,2966942.97447015,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:28:09.175+00
-8929748.43221381,2974046.22513917,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:39:26.778+00
-8928888.04386947,2970915.94072497,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:42:21.091+00
-8932155.60488272,2968368.81242038,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 09:52:04.179+00
-8926961.43744231,2978501.975779,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 10:02:31.547+00
-8933087.79429863,2973538.55936221,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/04 13:47:55.241+00
-8931947.32611545,2967594.88545018,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/05 10:58:19.685+00
-8926921.47374512,2980549.38984333,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/05 14:38:13.517+00
-8932445.14687828,2966091.14653782,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/03 11:54:04.920+00
-8931695.85538575,2969332.01423088,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/10 16:41:42.144+00
-8926583.0624931,2970840.41170681,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/11 09:11:18.771+00
-8927803.01279271,2973355.94740487,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/11 09:15:36.540+00
-8928906.18894647,2978072.6896738,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/11 09:19:12.701+00
-8926920.24923072,2971269.60959935,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/11 09:41:58.675+00
-8926359.31031661,2974264.94969215,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/11 09:48:11.625+00
-8935143.86529358,2970583.91262482,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 10:26:42.779+00
-8929845.2801708,2966931.4813229,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 14:36:57.113+00
-8929741.64172487,2968006.06769573,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 14:40:39.050+00
-8933447.69021236,2972662.85867322,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 14:56:44.375+00
-8934650.94258835,2971915.77884641,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:02:28.159+00
-8927402.37394534,2975129.49384225,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:04:25.446+00
-8927262.44534541,2969987.1215137,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:08:28.503+00
-8929760.23207983,2966884.27300596,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:08:31.878+00
-8926332.8162778,2974265.691556,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:17:44.085+00
-8933233.06623411,2966521.07063692,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:19:29.052+00
-8926330.367249,2974213.6375339,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:21:16.300+00
-8927689.35559261,2969657.71013951,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:47:51.868+00
-8932130.66931679,2974627.3546531,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:51:55.673+00
-8931590.88110593,2971662.84599707,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 15:52:12.113+00
-8927817.81828498,2977213.90788947,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:35:26.327+00
-8933546.54192019,2973435.5694004,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:39:31.909+00
-8936116.46368464,2970722.73060735,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:42:26.907+00
-8927675.99725371,2969347.58814013,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:47:21.786+00
-8931408.6510995,2971077.50737719,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/13 16:48:33.274+00
-8926968.33925074,2970068.9501762,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 10:29:37.786+00
-8935212.21546093,2970581.56397925,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:02:21.178+00
-8935468.25028975,2970626.31192272,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/14 11:12:06.623+00
